,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
583,LANDMRK,1643,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,0.205,0.205,2.5,0.005,5000.0,137660000.0,6.954110457847692,0.2402020456779228,0.4190607058507687,1.7479405829954525e-134,0.24443988035248934,normal,2.0378554622423355,-0.021278924095453178
584,TEKSENG,7200,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,0.375,0.38,2.7,0.01,47000.0,137054000.0,0.6656923708419384,-0.013138181502857085,0.026627755587298615,3.763108765626805e-08,0.12015707547812247,normal,1.3349934107425137,-0.07084776588660713
585,TOCEAN,7218,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,2.1,2.1,-2.78,-0.06,86000.0,136707000.0,-1.3267741825213637,-0.09134899191741228,0.03178259885679952,1.7598497021424778e-09,0.21862122436366915,normal,4.978522659384603,0.16558018733793212
586,MOBILIA,0229,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,ACE,0.195,0.195,2.63,0.005,770000.0,136500000.0,0.19831898863773523,-0.03196570232359923,0.017098736957725607,1.0927119598116672e-05,0.04488909000788018,normal,1.2739479702333336,0.0030422602473185734
587,INFOTEC,0253,TECHNOLOGY,DIGITAL SERVICES,ACE,0.38,0.375,-1.32,-0.005,5595000.0,136211000.0,,,,,,,,
588,AVI,8885,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,0.095,0.12,20.0,0.02,45962000.0,135995000.0,4.823182973958899,0.15541589303345693,0.371926139755639,1.8835699987023341e-115,0.18711746169082907,normal,3.4641066211372475,0.08881370922248433
589,PESONA,8311,CONSTRUCTION,CONSTRUCTION,MAIN,0.0,0.195,0.0,0.0,0.0,135522000.0,3.180566167118426,0.08754054552132756,0.3052099191809909,8.19496981561802e-91,0.14326347766625427,normal,1.0047311573512692,-0.019235946395542047
590,GUH,3247,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.45,0.48,5.49,0.025,4524000.0,134530000.0,1.9124761433120134,0.03701247452067149,0.2450816754962142,1.5236702516763213e-70,0.10020610032468584,normal,1.7721777522931865,0.05176344496887353
591,ASIAPAC,4057,PROPERTY,PROPERTY,MAIN,0.1,0.09,-10.0,-0.01,203000.0,133996000.0,1.9937866588844415,0.0401657620874129,0.31446866557452063,4.3505188262956696e-94,0.08788347550439723,normal,1.3724695587127904,-0.02349665786841637
592,GLOTEC,5220,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.485,0.495,0.0,0.0,72000.0,133215000.0,2.0884081623563673,0.04416512929876907,0.2321168701743911,2.2044001604780074e-66,0.11340002849303561,normal,1.6330289245203007,0.0417141064202724
593,PARAGON,9407,CONSUMER PRODUCTS & SERVICES,HOUSEHOLD GOODS,MAIN,1.58,1.58,-1.25,-0.02,2000.0,132451000.0,-1.946856300983391,-0.1170506438213423,0.15779316588126693,8.623615729524926e-44,0.13427734771767932,normal,2.4153245193369988,0.21485665019769495
594,CARIMIN,5257,ENERGY,"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",MAIN,0.565,0.565,0.0,0.0,68000.0,132141000.0,-0.21962760165384185,-0.04804967668070509,0.0017873654636445637,0.15664444946028902,0.1549513416188253,normal,1.780133679612083,-0.005322324221148644
